"113年11月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣上櫃永續報酬指數","9,116.04","-","169.44","-1.82","",
"特選台股領航報酬指數","14,261.01","-","120.78","-0.84","",
"特選Smart多因子報酬指數","10,879.77","-","80.19","-0.73","",
"特選ESG高股息報酬指數","8,881.71","-","82.37","-0.92","",
"特選上櫃ESG成長報酬指數","6,100.21","-","137.19","-2.20","",
"特選上櫃ESG電子菁英報酬指數","6,293.18","-","139.10","-2.16","",
"臺灣優息存股報酬指數","6,233.27","-","14.25","-0.23","",
"特選上櫃ESG永續高股息報酬指數","8,016.92","-","167.20","-2.04","",
"特選臺灣金融高股息存股報酬指數","7,270.65","-","43.12","-0.59","",
"特選臺灣產業龍頭存股等權重報酬指數","7,388.35","-","50.65","-0.68","",
"上櫃ESG 30報酬指數","6,813.10","-","147.28","-2.12","",
"臺灣ESG低碳50報酬指數","8,305.66","-","76.47","-0.91","",
"臺灣創新板報酬指數","7,621.71","-","55.46","-0.72","",
"特選上櫃ESG龍頭報酬指數","6,266.82","-","129.82","-2.03","",
"113年11月14日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","369,814,645,052","3,654,688,486","2,291,665",
"2.台灣存託憑證","687,034,555","102,052,695","16,927",
"3.受益憑證","0","0","0",
"4.ETF","37,881,888,460","1,796,044,638","638,831",
"5.受益證券","1,196,796","97,268","26",
"6.變更交易股票","24,734,971","1,468,997","1,341",
"7.認購(售)權證","2,324,653,920","2,593,028,000","75,538",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","11,824,150","1,483,000","127",
"14.創新板股票","814,307,358","10,770,536","3,996",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","370,653,687,381","3,666,928,019","2,297,002",
"總計(1~15)","411,560,285,262","8,159,633,620","3,028,451",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,387(22)","156(10)",
"下跌(跌停)","7,964(71)","824(3)",
"持平","601","40",
"未成交","21,399","1",
"無比價","3,147","1",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

"113年11月14日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","13,318,035","27,052","2,545,708,981","192.30","192.50","190.10","191.00","-","1.75","191.00","339","191.15","4","0.00",
="0051","元大中型100","164,929","452","13,188,206","80.50","80.50","79.55","79.80","-","0.65","79.75","1","79.80","6","0.00",
="0052","富邦科技","941,978","2,137","177,996,495","190.35","190.35","188.05","189.25","-","1.30","189.25","1","189.45","8","0.00",
="0053","元大電子","11,111","139","1,141,551","103.15","103.15","102.45","103.15","-","1.35","102.70","10","103.00","1","0.00",
="0055","元大MSCI金融","443,002","488","12,800,041","29.15","29.15","28.75","28.80","-","0.23","28.80","6","28.83","8","0.00",
="0056","元大高股息","70,953,656","59,884","2,634,000,614","37.45","37.46","36.99","37.08","-","0.41","37.08","296","37.09","6","0.00",
="0057","富邦摩台","13,966","109","1,963,653","140.70","140.95","140.30","140.95","-","1.60","140.70","20","141.05","20","0.00",
="0061","元大寶滬深","1,403,850","330","28,436,191","20.22","20.35","20.17","20.17","-","0.01","20.16","8","20.17","2","0.00",
="006203","元大MSCI台灣","6,793","91","612,007","89.90","90.35","89.90","90.35","-","1.10","89.85","13","90.10","1","0.00",
="006204","永豐臺灣加權","5,135","125","584,475","114.00","114.25","113.75","114.25","-","1.10","113.60","51","114.10","1","0.00",
="006205","富邦上証","1,099,982","299","37,720,111","34.12","34.45","34.12","34.21","+","0.09","34.20","3","34.21","44","0.00",
="006206","元大上證50","219,346","136","7,074,458","32.12","32.40","32.11","32.17","+","0.07","32.17","5","32.25","2","0.00",
="006207","復華滬深","290,099","95","7,652,356","26.21","26.48","26.21","26.35","+","0.16","26.23","2","26.26","2","0.00",
="006208","富邦台50","16,632,102","42,029","1,863,951,564","112.70","112.70","111.60","112.05","-","0.90","112.05","37","112.10","101","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","7.69","5","7.74","5","0.00",
="00631L","元大台灣50正2","8,640,329","11,665","2,033,748,817","238.35","238.35","232.50","234.10","-","4.40","234.10","41","234.85","17","0.00",
="00632R","元大台灣50反1","157,534,665","5,362","523,628,679","3.31","3.35","3.30","3.32","+","0.02","3.32","17,501","3.33","24,258","0.00",
="00633L","富邦上証正2","10,008,814","1,853","421,568,941","41.83","42.64","41.71","42.04","+","0.33","42.03","12","42.04","16","0.00",
="00634R","富邦上証反1","146,000","25","576,080","3.96","3.97","3.94","3.97"," ","0.00","3.95","739","3.97","698","0.00",
="00635U","期元大S&P黃金","1,423,049","986","41,907,730","29.54","29.54","29.40","29.40","-","0.56","29.39","12","29.40","5","0.00",
="00636","國泰中國A50","2,940,344","536","69,342,616","23.42","23.72","23.42","23.51","+","0.08","23.51","489","23.53","45","0.00",
="00636K","國泰中國A50+U","200","2","1,460","7.30","7.30","7.30","7.30","+","0.05","7.21","10","7.28","8","0.00",
="00637L","元大滬深300正2","102,283,907","10,370","1,739,958,173","16.88","17.20","16.83","16.95","+","0.13","16.94","1,596","16.95","55","0.00",
="00638R","元大滬深300反1","3,304,008","113","27,578,136","8.38","8.38","8.31","8.37"," ","0.00","8.37","24","8.38","201","0.00",
="00639","富邦深100","3,751,469","535","48,371,835","12.87","12.98","12.80","12.80"," ","0.00","12.80","6","12.81","69","0.00",
="00640L","富邦日本正2","315,034","110","16,646,823","53.15","53.15","52.25","52.35","+","0.25","52.35","66","52.45","156","0.00",
="00641R","富邦日本反1","1,052,847","118","6,467,014","6.13","6.18","6.11","6.17","-","0.01","6.15","100","6.17","152","0.00",
="00642U","期元大S&P石油","3,240,618","515","52,331,406","16.19","16.19","16.11","16.11","-","0.06","16.11","20","16.12","133","0.00",
="00643","群益深証中小","16,028,495","593","225,928,583","14.10","14.19","14.01","14.01"," ","0.00","14.00","19","14.01","185","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.17","1","3.18","1","0.00",
="00645","富邦日本","6,034,154","349","227,561,213","37.56","37.83","37.56","37.66","+","0.30","37.62","11","37.66","116","0.00",
="00646","元大S&P500","5,164,506","1,135","314,596,375","60.70","61.05","60.70","60.90","+","0.20","60.85","154","60.90","20","0.00",
="00647L","元大S&P500正2","156,083","112","16,009,132","102.45","102.65","102.45","102.45","+","0.40","102.45","61","102.50","2","0.00",
="00648R","元大S&P500反1","469,206","65","2,395,863","5.11","5.11","5.10","5.11"," ","0.00","5.10","1,689","5.11","507","0.00",
="00650L","復華香港正2","28,173,849","2,640","332,287,372","11.79","12.02","11.61","11.65","-","0.11","11.65","256","11.66","311","0.00",
="00651R","復華香港反1","936,120","96","7,140,794","7.62","7.69","7.57","7.68","+","0.04","7.67","227","7.69","227","0.00",
="00652","富邦印度","470,802","373","17,724,261","37.55","37.77","37.55","37.65","-","0.24","37.64","2","37.65","3","0.00",
="00653L","富邦印度正2","335,538","307","19,413,969","58.30","58.30","57.70","57.70","-","0.95","57.70","145","57.85","7","0.00",
="00654R","富邦印度反1","225,045","58","1,499,569","6.66","6.68","6.64","6.67","+","0.03","6.67","7","6.68","76","0.00",
="00655L","國泰中國A50正2","5,043,458","876","144,326,259","28.48","28.95","28.32","28.50","+","0.15","28.50","143","28.52","5","0.00",
="00656R","國泰中國A50反1","150,000","23","1,104,700","7.41","7.41","7.34","7.38","-","0.03","7.38","400","7.39","10","0.00",
="00657","國泰日經225","16,614","101","753,618","45.44","45.50","45.20","45.33","+","0.06","45.17","173","45.22","2","0.00",
="00657K","國泰日經225+U","200","2","2,796","13.98","13.98","13.98","13.98","-","0.15","13.91","10","13.95","3","0.00",
="00660","元大歐洲50","12,083","112","414,671","34.45","34.45","34.28","34.28","+","0.03","34.14","20","34.29","20","0.00",
="00661","元大日經225","85,688","118","4,237,549","49.82","49.82","49.33","49.33","-","0.05","49.31","3","49.33","2","0.00",
="00662","富邦NASDAQ","3,598,117","918","316,753,101","88.00","88.20","87.95","87.95","+","0.15","87.95","207","88.10","51","0.00",
="00663L","國泰臺灣加權正2","108,290","46","23,396,442","217.40","217.40","213.00","214.10","-","3.80","214.20","10","214.55","10","0.00",
="00664R","國泰臺灣加權反1","11,349,000","518","42,640,900","3.74","3.79","3.73","3.77","+","0.03","3.76","1,974","3.77","1,897","0.00",
="00665L","富邦恒生國企正2","65,125,465","5,479","519,197,348","7.96","8.12","7.83","7.86","-","0.07","7.86","2,924","7.87","123","0.00",
="00666R","富邦恒生國企反1","376,025","49","4,729,396","12.61","12.70","12.47","12.68","+","0.12","12.64","40","12.68","1","0.00",
="00668","國泰美國道瓊","121,996","137","6,340,032","51.75","52.05","51.75","52.05","+","0.30","52.00","15","52.05","161","0.00",
="00668K","國泰美國道瓊+U","200","2","3,192","15.96","15.96","15.96","15.96","+","0.02","15.94","10","15.98","3","0.00",
="00669R","國泰美國道瓊反1","1,050,588","117","6,774,753","6.44","6.46","6.43","6.46"," ","0.00","6.45","2,477","6.46","2,221","0.00",
