"113年11月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"4588","玖鼎電力","195,637","217","15,475,917","81.50","81.50","77.30","77.30","-","3.70","77.20","4","78.00","1","21.96",
"4720","德淵","443,860","257","8,960,444","20.65","20.65","19.95","19.95","-","0.70","19.95","15","20.10","9","16.91",
"4722","國精化","92,456","63","3,973,183","43.05","43.15","42.90","42.90","-","0.40","42.90","5","43.20","4","18.82",
"4736","泰博","325,195","536","48,653,392","150.00","151.00","148.50","148.50","-","3.50","148.50","19","149.50","2","15.92",
"4737","華廣","14,115","16","945,460","67.00","67.10","66.80","66.80","-","0.20","66.70","3","66.80","3","0.00",
"4739","康普","1,504,968","1,619","94,100,466","60.90","64.50","60.90","61.50","+","1.50","61.50","18","61.90","15","60.89",
"4746","台耀","542,180","688","49,049,422","91.10","92.20","89.10","89.30","-","1.70","89.30","11","89.50","4","27.31",
"4755","三福化","263,148","347","31,512,420","121.00","121.50","119.00","119.00","-","2.00","119.00","18","119.50","4","26.80",
"4763","材料-KY","4,064,563","8,188","3,434,346,104","830.00","855.00","801.00","851.00","-","26.00","851.00","2","852.00","37","11.07",
"4764","雙鍵","16,000","11","707,050","44.10","44.30","44.10","44.20","-","0.70","44.20","5","44.35","1","0.00",
"4766","南寶","356,679","2,153","104,548,968","294.50","297.50","291.00","292.50","-","2.50","291.50","15","292.50","4","13.28",
"4770","上品","808,807","1,553","257,384,502","329.00","330.50","312.00","316.00","-","14.50","316.00","2","317.00","3","14.88",
"4771","望隼","130,489","590","24,688,156","195.00","195.00","186.50","187.50","-","6.00","187.50","6","188.00","4","15.85",
"4807","日成-KY","1,036,320","721","35,212,657","34.15","35.30","32.70","33.15","-","0.55","33.15","22","33.20","10","0.00",
"4904","遠傳","6,213,767","3,941","555,342,203","88.90","90.50","88.80","88.90","-","0.70","88.90","1","89.00","27","26.70",
"4906","正文","2,141,288","1,454","76,647,818","36.20","36.20","35.50","35.50","-","0.45","35.50","58","35.55","4","43.29",
"4912","聯德控股-KY","106,401","90","11,648,018","110.00","111.00","108.50","108.50","-","1.50","108.00","3","108.50","1","15.63",
"4915","致伸","1,581,466","1,297","125,581,660","79.90","80.00","78.30","79.60","+","0.30","79.50","9","79.60","26","14.39",
"4916","事欣科","1,406,061","1,319","43,417,233","31.55","32.15","30.30","30.30","-","1.25","30.30","35","30.55","2","0.00",
"4919","新唐","26,551,541","19,270","2,620,682,683","96.20","100.50","95.20","98.50","+","2.60","98.40","239","98.50","15","41.74",
"4927","泰鼎-KY","2,097,733","1,346","81,336,772","39.65","39.80","38.40","38.45","-","1.20","38.40","40","38.45","2","0.00",
"4930","燦星網","81,119","125","2,486,191","30.75","30.80","30.50","30.65","-","0.10","30.65","8","30.70","4","12.07",
"4934","太極","618,218","399","8,445,443","14.15","14.15","13.50","13.60","-","0.35","13.60","2","13.65","7","0.00",
"4935","茂林-KY","272,339","266","17,471,141","64.70","65.10","63.50","63.50","-","0.90","63.50","15","63.60","2","19.13",
"4938","和碩","17,490,525","10,885","1,660,471,553","98.50","99.10","93.50","94.40","-","4.30","94.40","148","94.50","3","13.86",
"4942","嘉彰","1,041,410","543","42,450,334","41.05","41.30","40.50","40.60","-","1.80","40.60","23","40.65","12","11.22",
"4943","康控-KY","23,294","26","380,240","16.20","16.50","16.00","16.50","+","0.15","16.45","1","16.50","2","0.00",
"4949","有成精密","162,878","142","3,952,071","24.35","24.50","23.85","23.85","-","0.55","23.85","2","23.90","6","0.00",
"4952","凌通","303,444","321","15,554,685","51.80","52.10","50.90","50.90","-","0.90","50.90","1","51.00","2","21.57",
"4956","光鋐","3,105,320","1,953","107,841,529","34.90","35.65","34.00","34.00","-","0.90","34.00","99","34.10","2","0.00",
"4958","臻鼎-KY","9,349,297","6,729","1,092,068,230","119.00","120.00","115.50","115.50","-","4.50","115.50","97","116.00","62","13.25",
"4960","誠美材","1,294,938","495","16,457,423","12.75","12.80","12.60","12.75"," ","0.00","12.70","242","12.75","5","0.00",
"4961","天鈺","1,056,971","1,112","257,140,812","244.50","246.50","239.50","246.50","+","0.50","246.50","2","247.00","9","14.76",
"4967","十銓","1,627,149","1,396","149,154,370","94.00","94.00","90.60","90.80","-","2.00","90.80","12","91.00","5","9.62",
"4968","立積","13,526,735","11,212","2,534,940,777","191.50","195.50","179.50","181.50","-","5.50","181.00","11","181.50","18","312.93",
"4976","佳凌","463,466","395","17,268,723","37.95","38.15","37.05","37.05","-","0.90","37.05","11","37.40","4","0.00",
"4977","眾達-KY","10,847,711","6,882","1,275,534,905","117.00","119.50","115.50","117.00"," ","0.00","116.50","45","117.00","29","417.86",
"4989","榮科","173,550","126","3,456,727","20.70","20.70","19.55","19.55","-","0.35","19.55","6","19.65","1","0.00",
"4994","傳奇","66,067","71","6,857,497","104.00","105.00","102.50","103.50","+","1.00","103.00","2","104.00","2","27.24",
"4999","鑫禾","65,723","152","2,187,059","33.40","33.40","33.10","33.10","-","0.30","33.10","6","33.15","2","206.88",
"5007","三星","48,477","44","2,658,223","55.00","55.00","54.70","54.70","-","0.40","54.70","9","55.10","4","14.74",
"5203","訊連","218,280","209","18,671,373","85.70","86.20","85.10","85.10","-","0.60","85.10","6","85.50","1","28.09",
"5215","科嘉-KY","87,143","106","4,032,814","47.65","47.65","45.90","46.05","-","1.60","46.05","2","46.35","3","14.39",
"5222","全訊","251,610","413","33,439,917","134.00","134.50","132.00","132.00","-","2.50","132.00","18","132.50","4","24.54",
"5225","東科-KY","2,270,034","1,892","287,964,575","131.50","131.50","124.00","126.50","-","4.00","126.00","4","126.50","22","10.70",
"5234","達興材料","1,827,885","1,754","427,434,825","236.00","241.00","228.50","229.50","-","5.00","229.00","74","230.00","2","47.22",
"5243","乙盛-KY","5,621,826","4,590","389,691,300","69.00","70.60","68.10","69.20","+","0.70","69.10","1","69.20","33","24.11",
"5244","弘凱","53,000","46","2,144,100","40.65","40.85","40.20","40.20","-","0.40","40.20","3","40.40","2","16.34",
"5258","虹堡","1,171,234","1,265","107,138,772","93.40","94.00","90.40","91.10","-","2.20","91.00","4","91.10","4","13.58",
"5269","祥碩","1,382,242","2,924","2,292,646,655","1,710.00","1,735.00","1,620.00","1,650.00","-","60.00","1,645.00","1","1,650.00","162","35.50",
"5283","禾聯碩","83,251","86","8,651,139","103.50","105.00","103.00","103.50"," ","0.00","103.50","1","104.00","1","15.68",
"5284","jpp-KY","1,299,582","1,011","203,997,193","162.50","162.50","152.50","152.50","X","0.00","152.50","9","153.00","41","0.00",
"5285","界霖","222,823","214","12,479,848","56.90","56.90","55.60","55.60","-","0.90","55.60","6","56.00","2","29.42",
"5288","豐祥-KY","49,505","62","9,600,466","195.00","195.50","192.50","194.00","-","1.00","194.00","8","194.50","1","12.75",
"5292","華懋","102,087","162","16,720,842","165.00","165.50","162.50","163.00","-","1.00","162.50","1","163.00","1","17.60",
"5306","桂盟","297,592","369","37,579,847","124.50","127.50","124.00","125.50","+","1.50","125.00","23","125.50","1","18.57",
"5388","中磊","1,461,803","1,337","159,327,972","111.50","111.50","108.00","109.00","-","2.00","109.00","4","109.50","49","13.18",
"5434","崇越","760,509","2,439","232,358,496","305.50","308.50","302.00","308.50","+","3.00","307.50","6","308.50","24","17.47",
"5469","瀚宇博","1,608,719","1,851","83,273,547","52.20","52.60","51.40","51.40","-","1.00","51.40","55","51.50","28","10.02",
"5471","松翰","423,426","370","18,995,653","45.10","45.70","44.20","45.05","-","0.25","45.00","2","45.05","1","40.59",
"5484","慧友","430,518","425","23,379,757","55.10","56.60","54.00","54.00","-","1.10","54.00","24","54.40","1","0.00",
"5515","建國","771,082","1,210","20,476,478","26.60","27.20","26.20","26.20","-","0.95","26.20","12","26.30","14","9.26",
"5519","隆大","494,873","447","17,117,110","34.50","35.05","34.25","34.25","-","0.75","34.20","11","34.25","1","8.10",
"5521","工信","2,051,091","692","22,633,404","11.10","11.20","10.80","11.00","-","0.05","11.00","12","11.05","47","157.14",
"5522","遠雄","1,720,975","1,345","110,482,252","64.90","65.10","63.30","63.80","-","1.30","63.60","4","63.80","12","10.67",
"5525","順天","147,474","147","4,877,965","33.75","34.55","32.50","32.50","-","1.25","32.50","22","32.60","1","29.28",
"5531","鄉林","891,534","388","9,038,160","10.35","10.40","9.80","10.15","-","0.25","10.15","2","10.20","5","0.00",
"5533","皇鼎","309,243","184","6,332,776","20.65","20.70","20.30","20.30","-","0.40","20.30","10","20.35","4","13.81",
"5534","長虹","2,402,451","2,174","195,556,647","83.30","83.90","80.10","80.10","-","3.10","80.10","21","80.20","7","10.84",
"5538","東明-KY","69,148","59","2,252,587","32.20","33.00","32.20","32.25","-","0.80","32.25","6","32.40","8","17.72",
"5546","永固-KY","20,452","22","603,647","29.20","29.85","29.05","29.05","-","0.15","29.00","1","29.55","2","0.00",
"5607","遠雄港","695,980","976","29,916,005","43.55","43.60","42.50","42.50","-","1.05","42.50","36","42.85","1","24.43",
"5608","四維航","1,902,283","1,000","35,852,144","19.00","19.15","18.55","18.55","-","0.25","18.55","38","18.60","10","0.00",
"5706","鳳凰","234,846","573","14,367,772","61.80","62.10","60.50","60.50","-","1.00","60.50","3","60.60","10","15.84",
"5871","中租-KY","19,545,595","19,673","2,446,824,027","128.00","128.00","123.50","123.50","-","3.50","123.50","429","124.00","9","9.32",
"5871A","中租-KY甲特","165,619","87","15,952,576","96.30","96.50","96.00","96.50"," ","0.00","96.10","4","96.50","7","0.00",
"5876","上海商銀","11,927,808","3,522","470,455,539","39.05","39.70","39.00","39.70","+","0.40","39.65","1","39.70","411","18.29",
"5880","合庫金","15,837,401","8,235","396,181,118","25.05","25.10","24.90","25.10"," ","0.00","25.05","143","25.10","340","20.74",
"5906","台南-KY","53,003","27","2,972,066","55.50","57.30","55.10","55.30","-","1.70","55.20","4","56.00","1","25.60",
"5907","大洋-KY","1,283,961","631","14,800,374","11.35","11.85","11.30","11.60","+","0.05","11.50","17","11.60","4","0.00",
"6005","群益證","3,857,054","2,251","83,983,674","21.90","22.00","21.65","21.80","-","0.25","21.75","39","21.80","93","10.05",
"6024","群益期","420,706","384","24,131,007","58.10","58.10","56.90","57.30","-","0.80","57.20","7","57.50","1","10.05",
"6108","競國","963,610","427","15,517,559","16.55","16.55","15.80","16.20","-","0.35","16.20","8","16.25","8","8.39",
"6112","邁達特","296,546","331","13,417,707","45.30","46.05","44.85","44.85","-","0.50","44.85","15","44.90","4","27.35",
"6115","鎰勝","87,585","130","4,626,489","52.90","53.20","52.70","52.70","-","0.50","52.70","20","52.90","2","18.11",
"6116","彩晶","5,257,835","1,769","46,791,290","9.05","9.05","8.81","8.81","-","0.13","8.81","147","8.82","79","0.00",
"6117","迎廣","792,726","739","75,381,862","95.40","96.90","94.00","94.30","-","0.70","94.30","8","94.50","5","24.12",
"6120","達運","914,923","528","11,938,993","13.25","13.25","12.95","12.95","-","0.20","12.95","73","13.00","19","44.66",
"6128","上福","133,590","104","4,724,580","35.40","35.50","35.25","35.35","-","0.10","35.30","18","35.35","3","11.12",
"6133","金橋","1,892,935","1,098","43,168,966","23.20","23.30","22.50","22.50","-","0.35","22.50","95","22.55","36","64.29",
"6136","富爾特","252,270","185","5,709,355","22.40","22.85","22.35","22.65","+","0.10","22.65","2","22.70","4","32.36",
"6139","亞翔","1,024,996","1,894","225,327,790","221.50","222.00","218.00","220.00","+","1.00","220.00","8","220.50","5","12.40",
"6141","柏承","93,116","61","1,193,849","12.90","12.95","12.70","12.85","-","0.15","12.75","3","12.85","1","0.00",
"6142","友勁","968,085","424","10,804,588","11.25","11.35","11.00","11.05","-","0.20","11.05","33","11.15","1","0.00",
"6152","百一","1,958,812","944","29,345,939","15.05","15.35","14.80","14.80","-","0.45","14.80","119","14.90","4","0.00",
"6153","嘉聯益","3,105,036","1,673","53,452,831","17.40","17.50","17.00","17.15","-","0.25","17.15","11","17.25","30","0.00",
"6155","鈞寶","232,110","127","6,167,744","26.90","26.90","26.35","26.35","-","0.45","26.35","6","26.40","4","37.11",
"6164","華興","1,037,053","728","16,036,913","15.70","15.80","15.10","15.10","-","0.60","15.10","31","15.25","28","55.93",
"6165","浪凡","1,360,144","763","61,429,818","46.35","46.35","44.30","44.90","-","1.30","44.90","26","45.05","6","45.35",
"6166","凌華","222,236","434","15,329,975","69.50","70.20","68.30","68.40","-","1.40","68.30","9","68.40","1","0.00",
"6168","宏齊","740,015","478","16,319,681","22.40","22.50","21.65","21.65","-","0.75","21.65","4","21.80","8","80.19",
"6176","瑞儀","1,796,513","1,648","352,961,194","200.00","200.50","195.00","196.00","-","5.00","195.50","18","196.00","4","15.61",
"6177","達麗","1,785,749","1,467","73,692,348","41.40","41.70","40.85","40.85","-","0.70","40.85","10","40.95","2","9.10",
"6183","關貿","30,944","62","2,458,224","79.30","80.10","79.20","79.20","-","1.00","79.20","5","79.90","1","24.29",
"6184","大豐電","54,900","117","2,812,110","51.30","51.40","51.10","51.20","-","0.20","51.20","1","51.40","1","14.42",
"6189","豐藝","841,088","769","71,054,560","85.50","86.00","83.50","84.70","-","0.70","84.30","2","84.80","12","15.63",
"6191","精成科","3,630,122","2,476","198,313,110","55.70","56.00","54.10","54.10","-","1.50","54.10","58","54.40","1","8.39",
"6192","巨路","165,920","259","18,083,199","110.00","110.50","108.00","108.00","-","2.00","108.00","35","108.50","5","12.34",
"6196","帆宣","942,958","870","140,699,236","150.00","151.00","147.50","151.00","+","1.00","150.50","1","151.00","2","17.79",
"6197","佳必琪","2,725,436","2,931","428,702,885","160.50","161.50","155.00","155.50","-","4.50","155.50","42","156.00","10","19.22",
"6201","亞弘電","16,244","18","916,919","56.30","57.10","56.00","56.00","-","0.50","56.00","9","56.60","2","12.81",
"6202","盛群","1,488,428","1,379","75,756,429","52.50","52.50","49.70","49.85","-","2.25","49.85","1","50.20","4","0.00",
"6205","詮欣","117,480","213","8,046,798","69.70","69.70","68.10","68.10","-","1.00","68.10","6","68.60","2","27.46",
"6206","飛捷","529,828","672","43,179,053","82.10","82.50","80.50","80.80","-","1.30","80.80","3","80.90","14","13.58",
"6209","今國光","197,562","171","4,933,086","25.15","25.30","24.80","24.80","-","0.25","24.80","5","24.90","4","0.00",
"6213","聯茂","2,256,687","1,924","169,381,490","75.80","76.30","74.30","74.50","-","1.30","74.50","48","74.60","8","29.10",
"6214","精誠","783,877","794","104,461,377","135.50","135.50","131.00","134.00","-","1.00","132.50","3","134.00","29","19.71",
"6215","和椿","1,649,020","1,001","99,925,494","61.20","61.40","60.20","60.30","-","0.40","60.30","28","60.50","2","38.65",
"6216","居易","1,083,837","842","44,158,913","40.60","41.15","40.35","40.60","+","0.30","40.60","29","40.65","9","16.85",
"6224","聚鼎","351,699","645","21,729,442","61.30","62.60","60.80","62.00","+","0.70","62.00","5","62.10","4","35.43",
"6225","天瀚","97","3","1,341","--","--","--","--"," ","0.00","13.65","2","16.10","1","49.33",
"6226","光鼎","139,031","88","1,346,420","9.66","9.75","9.65","9.65","-","0.10","9.65","10","9.67","2","0.00",
"6230","尼得科超眾","270,877","333","57,006,484","207.50","217.00","204.00","204.00","-","0.50","204.00","1","205.50","4","177.39",
"6235","華孚","1,982,758","1,788","136,658,196","70.70","70.90","68.00","68.00","-","2.10","68.00","86","68.10","1","18.63",
"6239","力成","2,483,155","1,842","310,683,443","125.00","127.00","124.00","124.00","-","1.00","123.50","85","124.00","32","10.04",
"6243","迅杰","152,736","192","7,401,249","50.00","50.00","48.05","48.05","-","1.55","48.00","12","48.05","1","133.47",
"6257","矽格","3,532,186","2,569","257,141,906","74.10","74.10","72.20","72.90","-","1.10","72.70","21","72.90","59","15.68",
"6269","台郡","1,213,846","1,080","80,653,390","66.80","67.10","66.10","66.60","-","0.20","66.50","14","66.60","1","54.59",
"6271","同欣電","1,207,552","1,358","149,396,405","126.50","127.50","122.00","122.00","-","3.50","122.00","26","122.50","10","14.01",
"6277","宏正","52,662","146","4,095,339","77.90","78.00","77.60","77.80","-","0.30","77.70","16","77.80","2","20.05",
"6278","台表科","3,844,545","2,116","393,886,455","104.00","104.00","101.00","104.00","-","1.00","104.00","54","104.50","60","10.56",
"6281","全國電","24,398","31","2,031,929","83.40","83.40","83.10","83.10","-","0.30","83.10","9","83.30","2","18.07",
"6282","康舒","14,029,963","8,977","459,679,543","33.70","33.70","32.00","32.05","-","1.65","32.00","295","32.05","73","0.00",
"6283","淳安","1,838,463","1,391","58,438,535","32.50","32.70","31.15","31.15","-","0.55","31.15","11","31.20","3","0.00",
"6285","啟碁","3,573,852","2,908","438,152,155","122.00","124.50","121.00","121.00","-","1.00","121.00","104","121.50","14","17.77",
"6288","聯嘉","6,354,322","3,742","194,721,956","31.55","31.80","30.00","30.20","-","1.35","30.15","9","30.20","2","83.89",
"6405","悅城","16,678,056","8,470","807,949,965","45.40","49.40","44.35","49.40","+","4.45","49.40","37,795","--","0","0.00",
"6409","旭隼","169,622","622","323,118,955","1,995.00","1,995.00","1,885.00","1,885.00","-","70.00","1,880.00","3","1,885.00","3","39.82",
"6412","群電","603,685","564","72,107,498","120.00","122.00","118.50","118.50","-","2.00","118.50","189","119.00","28","13.72",
"6414","樺漢","980,540","4,530","302,641,462","313.00","316.00","305.50","306.00","-","6.50","306.00","36","306.50","1","18.65",
"6415","矽力*-KY","3,411,065","3,761","1,558,253,504","468.50","474.00","447.00","449.00","-","17.50","449.00","15","450.00","4","113.38",
"6416","瑞祺電通","1,194,034","1,528","167,485,271","143.50","145.50","137.50","138.50","-","4.50","138.50","31","139.50","1","33.78",
"6423","億而得-創","16,378","17","1,423,464","86.60","88.00","86.50","88.00","+","1.40","86.60","2","89.00","1","88.89",
"6426","統新","212,702","284","14,687,331","69.70","70.00","68.30","68.80","-","0.80","68.80","2","69.00","2","0.00",
"6431","光麗-KY","103,305","76","1,739,314","17.00","17.05","16.60","16.60","-","0.45","16.60","5","16.95","2","0.00",
"6438","迅得","5,259,646","6,691","1,143,262,328","222.50","226.00","211.50","215.50","-","5.00","215.00","9","215.50","22","42.50",
"6442","光聖","576,668","992","300,731,258","515.00","528.00","515.00","515.00","+","5.00","514.00","3","515.00","2","59.74",
"6443","元晶","6,394,803","3,142","119,263,422","19.05","19.15","18.40","18.40","-","0.60","18.40","16","18.45","8","57.50",
"6446","藥華藥","714,657","1,237","447,246,164","626.00","634.00","622.00","622.00","-","4.00","622.00","26","623.00","2","155.89",
"6449","鈺邦","789,849","712","115,664,501","150.00","150.00","145.00","146.00","-","3.50","146.00","3","146.50","16","30.23",
"6451","訊芯-KY","4,715,375","6,301","1,079,788,978","231.50","237.50","224.50","225.00","-","10.00","225.00","84","225.50","44","133.93",
"6456","GIS-KY","1,111,968","970","59,531,652","53.60","54.00","53.20","53.40","-","0.40","53.40","13","53.50","2","0.00",
"6464","台數科","23,415","33","1,874,677","80.00","80.30","79.80","80.20","-","0.30","79.90","1","80.20","2","14.50",
"6472","保瑞","4,453,711","7,573","3,531,636,512","799.00","818.00","775.00","775.00","-","2.00","775.00","5","776.00","1","20.43",
"6477","安集","423,061","445","12,182,027","29.10","29.20","28.50","28.50","-","0.50","28.50","7","28.55","22","0.00",
"6491","晶碩","284,335","487","105,843,634","375.00","375.00","369.00","369.00","-","5.00","369.00","1","370.00","1","14.42",
"6504","南六","25,089","29","1,744,049","69.50","70.00","69.20","69.20","-","0.50","69.20","1","69.40","2","329.52",
"6505","台塑化","7,215,213","5,618","314,181,861","44.10","44.45","43.20","43.45","-","0.65","43.40","4","43.45","20","67.89",
"6515","穎崴","419,681","752","563,472,580","1,355.00","1,370.00","1,325.00","1,330.00","-","25.00","1,325.00","2","1,330.00","2","52.55",
"6525","捷敏-KY","373,023","342","26,356,933","71.00","71.30","70.10","71.00"," ","0.00","70.90","1","71.00","2","15.78",
"6526","達發","638,749","2,423","376,947,275","605.00","607.00","584.00","584.00","-","19.00","584.00","1","585.00","2","44.18",
"6531","愛普*","1,397,995","2,277","425,924,355","310.00","313.00","300.00","300.00","-","10.00","300.00","9","300.50","5","33.67",
"6533","晶心科","385,909","587","149,274,316","380.00","393.00","380.00","385.50","+","5.50","385.00","2","385.50","2","0.00",
"6534","正瀚-創","53,006","34","4,304,580","81.50","81.80","81.00","81.00","-","0.50","81.00","13","81.70","2","21.83",
"6541","泰福-KY","136,079","178","8,705,369","64.30","64.90","63.20","63.30","-","0.70","63.30","4","63.60","1","0.00",
"6550","北極星藥業-KY","863,780","475","43,969,537","51.30","51.60","50.50","51.20","-","0.20","51.00","44","51.20","20","0.00",
"6552","易華電","130,508","171","5,069,379","40.00","40.00","38.40","38.55","-","0.70","38.50","6","38.65","10","0.00",
"6558","興能高","1,103,985","531","28,284,434","25.50","25.70","25.10","25.70","+","2.30","25.70","532","--","0","0.00",
"6573","虹揚-KY","55,070","45","854,192","15.60","15.95","15.30","15.40","-","0.20","15.40","1","15.60","4","0.00",
"6579","研揚","120,041","167","14,112,415","117.00","118.50","116.00","117.50"," ","0.00","117.00","15","119.00","12","27.14",
"6581","鋼聯","190,776","139","21,868,795","115.00","115.50","113.00","113.50","-","1.00","113.50","13","114.00","2","16.59",
"6582","申豐","111,933","113","6,844,867","62.00","62.00","60.60","60.80","-","0.70","60.80","11","61.10","1","552.73",
"6585","鼎基","318,131","473","41,107,692","132.00","133.00","128.00","128.50","-","2.00","128.50","2","129.00","3","12.93",
"6591","動力-KY","320,731","261","16,467,283","50.60","52.20","50.50","50.90","+","0.40","50.80","2","51.00","6","16.80",
"6592","和潤企業","850,612","1,214","71,330,469","85.00","85.50","83.40","83.60","-","1.40","83.60","5","83.80","8","17.31",
"6592A","和潤企業甲特","31,077","22","2,949,176","94.90","94.90","94.90","94.90","+","0.10","94.80","34","94.90","8","0.00",
"6592B","和潤企業乙特","126,021","52","12,025,101","95.40","95.50","95.40","95.40","-","0.10","95.30","33","95.50","21","0.00",
"6598","ABC-KY","208,757","179","4,890,473","23.90","23.90","23.20","23.20","-","0.70","23.15","6","23.40","3","0.00",
"6605","帝寶","667,489","1,102","148,872,427","226.50","228.00","220.00","220.00","-","4.00","220.00","37","220.50","1","12.27",
"6606","建德工業","204,385","139","5,796,542","28.05","28.60","28.05","28.45","+","0.30","28.35","5","28.45","5","29.95",
"6625","必應","78,431","152","6,431,673","82.40","82.80","81.50","82.00","-","0.20","82.00","5","82.10","1","14.72",
"6641","基士德-KY","7,519","61","291,608","39.05","39.95","38.10","38.10","-","0.90","38.10","1","38.65","1","17.01",
"6645","金萬林-創","38,212","25","1,039,974","27.80","28.00","27.00","27.00","-","0.95","27.00","9","27.20","2","0.00",
"6655","科定","11,100","14","1,417,708","129.00","129.00","126.00","126.50","-","1.00","126.50","1","127.50","2","26.91",
"6657","華安","34,125","29","1,694,797","50.00","50.00","49.10","49.30","-","0.80","49.25","2","49.50","1","0.00",
"6658","聯策","1,849,351","1,797","174,227,530","97.10","97.40","92.50","93.90","-","2.20","93.60","1","93.90","3","447.14",
"6666","羅麗芬-KY","34,195","37","1,944,827","56.70","57.20","56.50","56.80","-","0.40","56.70","1","56.80","1","28.98",
"6668","中揚光","289,359","306","13,977,316","49.20","49.80","47.30","47.40","-","1.70","47.40","6","47.45","4","0.00",
"6669","緯穎","5,056,455","10,887","11,407,041,765","2,200.00","2,310.00","2,175.00","2,260.00","+","120.00","2,260.00","14","2,265.00","3","21.83",
"6670","復盛應用","387,665","5,090","114,195,461","297.00","298.00","291.50","296.50","-","0.50","296.50","1","297.00","1","12.48",
"6671","三能-KY","33,190","16","1,390,711","42.05","42.05","41.75","41.75","-","0.20","41.70","1","41.90","2","14.15",
"6672","騰輝電子-KY","163,371","180","11,330,028","69.20","70.50","68.80","69.90","+","0.70","69.30","3","69.90","2","13.68",
"6674","鋐寶科技","240,790","155","6,288,235","24.30","26.25","24.30","26.25","+","2.35","26.25","29","--","0","0.00",
"6689","伊雲谷","219,960","297","19,802,601","91.10","91.40","89.20","89.90","-","1.20","89.90","3","90.20","4","33.05",
"6691","洋基工程","197,812","406","59,138,483","299.00","301.50","297.50","299.00","-","0.50","299.00","1","299.50","2","18.01",
"6695","芯鼎","1,325,044","1,136","78,696,989","59.70","60.80","58.30","58.30","-","1.40","58.30","12","58.40","1","0.00",
"6698","旭暉應材","273,608","342","10,790,397","39.90","40.40","39.00","39.00","-","0.75","39.00","42","39.05","4","0.00",
"6706","惠特","3,075,200","2,375","517,602,485","171.00","171.50","166.00","166.00","-","3.50","166.00","82","166.50","5","0.00",
"6715","嘉基","156,158","164","26,975,890","172.00","175.50","170.00","172.00","-","0.50","171.50","11","172.00","2","31.79",
"6719","力智","423,623","648","94,225,811","226.50","228.00","220.00","220.50","-","6.00","220.50","5","221.00","1","94.64",
"6742","澤米","736,832","796","46,771,501","64.20","64.80","62.60","62.60","-","1.30","62.60","8","62.70","12","0.00",
"6743","安普新","1,323,228","1,064","64,530,494","48.00","50.30","47.65","47.70","+","0.30","47.70","5","47.75","1","20.65",
"6753","龍德造船","772,957","848","86,924,558","113.00","115.50","111.00","111.00","-","2.00","111.00","1","111.50","4","15.61",
"6754","匯僑設計","622,253","873","43,118,361","71.70","71.70","68.20","68.20","-","6.40","68.20","17","68.50","10","10.91",
"6756","威鋒電子","165,144","221","22,966,013","140.00","141.00","138.00","138.00","-","2.00","137.50","5","138.00","1","67.98",
"6757","台灣虎航-創","8,794,762","2,805","622,113,881","66.50","72.70","66.10","72.70","+","6.60","72.70","608","--","0","11.03",
"6768","志強-KY","5,919,025","4,319","880,252,206","148.50","154.50","144.00","147.00"," ","0.00","146.50","7","147.00","56","22.17",
"6770","力積電","13,661,523","5,290","240,023,020","17.80","17.90","17.45","17.45","-","0.35","17.45","531","17.50","52","0.00",
"6771","平和環保-創","18,128","20","1,010,940","56.00","56.00","55.50","55.90","+","1.60","55.10","3","55.90","4","13.54",
"6776","展碁國際","58,428","74","3,367,134","57.90","58.00","57.30","57.60","-","0.30","57.40","1","57.80","4","12.58",
"6781","AES-KY","726,604","1,498","542,278,329","763.00","763.00","733.00","749.00","-","12.00","746.00","1","749.00","6","33.48",
"6782","視陽","298,745","347","62,402,436","210.50","212.50","207.00","208.00","-","2.00","208.00","1","208.50","3","21.18",
"6789","采鈺","1,580,788","2,371","432,591,566","280.00","283.00","270.00","270.50","-","9.50","270.50","2","271.00","1","70.63",
"6790","永豐實","455,293","452","21,025,102","46.70","46.75","45.70","46.65","-","0.05","46.55","2","46.65","4","13.72",
"6792","詠業","61,712","65","3,705,688","60.40","60.40","59.80","59.80","-","0.60","59.80","4","60.40","1","31.31",
"6794","向榮生技-創","23,000","21","1,661,000","72.90","73.40","70.20","72.30","+","0.40","71.00","1","72.30","1","0.00",
"6796","晉弘","30,491","82","2,653,573","88.00","88.00","86.50","86.70","-","0.90","86.40","3","86.70","1","0.00",
"6799","來頡","367,881","404","36,743,823","102.00","102.00","98.50","99.50","-","2.50","99.20","3","99.50","3","28.03",
"6805","富世達","953,200","2,023","777,173,031","824.00","835.00","805.00","805.00","-","15.00","805.00","14","807.00","1","55.75",
"6806","森崴能源","1,831,503","1,598","232,002,282","128.50","129.50","124.00","124.00","-","2.50","124.00","37","124.50","5","34.93",
"6807","峰源-KY","673,407","612","61,999,820","97.00","97.80","88.50","91.00","-","5.60","89.60","1","91.00","5","12.31",
"6830","汎銓","1,184,994","1,211","214,194,464","179.00","184.00","177.50","181.50","+","2.50","181.00","36","181.50","5","80.31",
"6834","天二科技","459,329","328","14,713,046","33.80","33.80","31.60","31.60","-","1.40","31.60","1","31.90","7","243.08",
"6835","圓裕","232,006","205","10,358,265","45.20","45.20","44.25","44.50","-","0.70","44.45","3","44.60","1","13.13",
"6838","台新藥","289,593","283","12,188,412","42.75","42.95","41.25","41.25","-","1.35","41.25","2","41.50","4","0.00",
